FileName	X	Y	Z	W	P	Q	R
FileName	X	Y	Z	W	P	Q	R
IMG_4576.JPG	1.483535319566726685e-01	-3.088825615122914314e-04	-3.917441517114639282e-02	9.844882488250732422e-01	-9.549877047538757324e-02	8.005522191524505615e-02	1.342512108385562897e-02
IMG_4578.JPG	-1.783375442028045654e-02	-1.925007626414299011e-02	-9.037881344556808472e-02	9.814476966857910156e-01	-9.122777730226516724e-02	9.101458638906478882e-02	7.587670814245939255e-03
IMG_4571.JPG	-2.214375138282775879e-01	-1.406898722052574158e-02	-1.252953112125396729e-01	9.820497632026672363e-01	-1.060622632503509521e-01	5.367997288703918457e-02	8.645419031381607056e-03
IMG_4593.JPG	2.485460519790649414e+00	1.336843147873878479e-02	2.093611508607864380e-01	9.583189487457275391e-01	-6.902030855417251587e-02	2.320470362901687622e-01	1.331972330808639526e-02
IMG_4601.JPG	4.157214641571044922e+00	5.530420690774917603e-03	3.802664875984191895e-01	9.338591694831848145e-01	-3.369691595435142517e-02	3.386197686195373535e-01	2.832502312958240509e-02
IMG_4608.JPG	4.596559047698974609e+00	6.250534206628799438e-03	5.897758007049560547e-01	9.175835251808166504e-01	-7.704418897628784180e-02	3.421155214309692383e-01	4.937851801514625549e-03
IMG_4563.JPG	-2.691826105117797852e+00	-4.601159319281578064e-02	-8.595362305641174316e-01	9.764496088027954102e-01	-9.508067369461059570e-02	-3.869667649269104004e-03	-5.392608232796192169e-03
IMG_4554.JPG	-5.002145290374755859e+00	-8.163671940565109253e-03	-1.280072927474975586e+00	9.664289951324462891e-01	-8.629855513572692871e-02	-9.236798435449600220e-02	-2.881669206544756889e-03
IMG_4543.JPG	-4.841732978820800781e+00	-2.406203374266624451e-02	-1.190541625022888184e+00	9.770051240921020508e-01	-5.683261528611183167e-02	-6.249525770545005798e-02	-1.373596116900444031e-02
IMG_4536.JPG	-5.532058238983154297e+00	-3.717814013361930847e-02	-1.356073856353759766e+00	9.712849259376525879e-01	-6.335098296403884888e-02	-1.209697872400283813e-01	-1.826358214020729065e-02
IMG_4530.JPG	-6.514527797698974609e+00	-8.569579571485519409e-03	-1.511617660522460938e+00	9.636278748512268066e-01	-5.991759523749351501e-02	-1.284415721893310547e-01	-2.133545093238353729e-02
IMG_4521.JPG	-7.125475406646728516e+00	1.113859191536903381e-02	-1.516856074333190918e+00	9.626105427742004395e-01	-5.859052389860153198e-02	-1.270043998956680298e-01	-1.788353919982910156e-02
IMG_4509.JPG	-8.026495933532714844e+00	2.892021089792251587e-03	-1.705232858657836914e+00	9.569268822669982910e-01	-7.253868132829666138e-02	-1.908081620931625366e-01	-1.005714386701583862e-02
IMG_4579.JPG	-2.778156757354736328e+00	-5.514163896441459656e-02	-8.092611432075500488e-01	9.738829135894775391e-01	-7.435525208711624146e-02	-1.816511340439319611e-02	-4.597960971295833588e-03
